two_theta,y_obs,y_calc,y_bkg,y_diff
45.025,0.823667,0.655878,0.644695,0.167789
45.03,0.829577,0.655703,0.64459,0.173873
45.035,0.829418,0.655529,0.644484,0.173889
45.04,0.824719,0.655356,0.644378,0.169363
45.045,0.806091,0.655183,0.644272,0.150908
45.05,0.798668,0.655011,0.644166,0.143657
45.055,0.789153,0.65484,0.64406,0.134314
45.06,0.799244,0.654669,0.643955,0.144575
45.065,0.81149,0.654499,0.643849,0.156991
45.07,0.809713,0.65433,0.643743,0.155384
45.075,0.79956,0.654161,0.643637,0.145399
45.08,0.792898,0.653993,0.643532,0.138906
45.085,0.767179,0.653825,0.643426,0.113354
45.09,0.75695,0.653658,0.64332,0.103292
45.095,0.764878,0.653492,0.643215,0.111386
45.1,0.765473,0.653326,0.643109,0.112147
45.105,0.772438,0.653161,0.643004,0.119277
45.11,0.759601,0.652997,0.642898,0.106604
45.115,0.744281,0.652833,0.642793,0.0914482
45.12,0.751942,0.65267,0.642687,0.0992725
45.125,0.769318,0.652507,0.642582,0.116811
45.13,0.789956,0.652345,0.642476,0.137612
45.135,0.76867,0.652183,0.642371,0.116487
45.14,0.755143,0.652022,0.642265,0.103121
45.145,0.737053,0.651861,0.64216,0.0851922
45.15,0.738898,0.651701,0.642055,0.0871966
45.155,0.744391,0.651542,0.641949,0.0928495
45.16,0.737632,0.651383,0.641844,0.0862497
45.165,0.715014,0.651224,0.641739,0.0637897
45.17,0.714175,0.651066,0.641633,0.0631085
45.175,0.695584,0.650909,0.641528,0.0446755
45.18,0.696058,0.650752,0.641423,0.0453065
45.185,0.688962,0.650595,0.641318,0.0383669
45.19,0.681519,0.650439,0.641212,0.0310797
45.195,0.676608,0.650284,0.641107,0.0263238
45.2,0.689611,0.650129,0.641002,0.0394825
45.205,0.708228,0.649974,0.640897,0.0582538
45.21,0.728687,0.64982,0.640792,0.0788668
45.215,0.729726,0.649666,0.640687,0.0800594
45.22,0.73091,0.649513,0.640582,0.0813973
45.225,0.734649,0.64936,0.640477,0.0852888
45.23,0.745306,0.649208,0.640372,0.0960982
45.235,0.734524,0.649056,0.640267,0.085468
45.24,0.724701,0.648904,0.640162,0.0757962
45.245,0.73307,0.648753,0.640057,0.0843164
45.25,0.749678,0.648603,0.639952,0.101075
45.255,0.742387,0.648452,0.639847,0.0939343
45.26,0.738532,0.648303,0.639742,0.0902296
45.265,0.72225,0.648153,0.639637,0.0740967
45.27,0.7119,0.648004,0.639532,0.0638962
45.275,0.689727,0.647856,0.639428,0.0418715
45.28,0.674316,0.647707,0.639323,0.0266089
45.285,0.675969,0.647559,0.639218,0.0284093
45.29,0.686313,0.647412,0.639113,0.0389007
45.295,0.700328,0.647265,0.639009,0.0530635
45.3,0.702814,0.647118,0.638904,0.0556957
45.305,0.701836,0.646972,0.638799,0.054864
45.31,0.69316,0.646826,0.638695,0.0463338
45.315,0.6769,0.64668,0.63859,0.0302203
45.32,0.685012,0.646535,0.638485,0.0384775
45.325,0.671369,0.64639,0.638381,0.0249792
45.33,0.670784,0.646245,0.638276,0.024539
45.335,0.670251,0.646101,0.638172,0.02415
45.34,0.671028,0.645957,0.638067,0.025071
45.345,0.674041,0.645814,0.637963,0.0282272
45.35,0.656765,0.645671,0.637858,0.0110946
45.355,0.649616,0.645528,0.637754,0.00408773
45.36,0.672145,0.645385,0.637649,0.0267595
45.365,0.696843,0.645243,0.637545,0.0516003
45.37,0.694191,0.645101,0.637441,0.0490895
45.375,0.688146,0.64496,0.637336,0.0431863
45.38,0.685458,0.644818,0.637232,0.0406394
45.385,0.693342,0.644677,0.637128,0.0486643
45.39,0.701394,0.644537,0.637023,0.0568575
45.395,0.698313,0.644397,0.636919,0.0539163
45.4,0.699269,0.644257,0.636815,0.0550122
45.405,0.707845,0.644117,0.636711,0.0637278
45.41,0.714681,0.643977,0.636607,0.070704
45.415,0.686972,0.643838,0.636502,0.0431339
45.42,0.683413,0.6437,0.636398,0.0397133
45.425,0.670107,0.643561,0.636294,0.0265455
45.43,0.681985,0.643423,0.63619,0.0385623
45.435,0.691927,0.643285,0.636086,0.0486425
45.44,0.663429,0.643147,0.635982,0.0202818
45.445,0.650973,0.64301,0.635878,0.00796317
45.45,0.650081,0.642873,0.635774,0.00720803
45.455,0.669796,0.642736,0.63567,0.0270606
45.46,0.686408,0.642599,0.635566,0.0438088
45.465,0.683742,0.642463,0.635462,0.0412794
45.47,0.67479,0.642327,0.635358,0.0324629
45.475,0.673459,0.642191,0.635254,0.0312676
45.48,0.650875,0.642055,0.63515,0.00881904
45.485,0.649889,0.64192,0.635046,0.00796916
45.49,0.650167,0.641785,0.634943,0.00838163
45.495,0.663322,0.64165,0.634839,0.0216717
45.5,0.655615,0.641516,0.634735,0.0140993
45.505,0.660513,0.641382,0.634631,0.0191316
45.51,0.655671,0.641248,0.634527,0.0144236
45.515,0.656796,0.641114,0.634424,0.0156819
45.52,0.656916,0.64098,0.63432,0.0159355
45.525,0.642392,0.640847,0.634216,0.00154514
45.53,0.644193,0.640714,0.634113,0.00347867
45.535,0.633458,0.640581,0.634009,-0.00712301
45.54,0.623098,0.640449,0.633905,-0.0173504
45.545,0.634136,0.640316,0.633802,-0.00618072
45.55,0.640018,0.640184,0.633698,-0.000166394
45.555,0.651979,0.640052,0.633595,0.0119267
45.56,0.657702,0.639921,0.633491,0.0177811
45.565,0.646799,0.639789,0.633388,0.00700937
45.57,0.641347,0.639658,0.633284,0.00168895
45.575,0.647933,0.639527,0.633181,0.00840654
45.58,0.645849,0.639396,0.633077,0.0064524
45.585,0.649716,0.639266,0.632974,0.0104507
45.59,0.647286,0.639135,0.632871,0.00815109
45.595,0.640415,0.639005,0.632767,0.00140977
45.6,0.641815,0.638875,0.632664,0.00294027
45.605,0.644216,0.638745,0.632561,0.00547027
45.61,0.646807,0.638616,0.632457,0.00819099
45.615,0.657311,0.638487,0.632354,0.0188241
45.62,0.672269,0.638357,0.632251,0.0339119
45.625,0.660948,0.638229,0.632148,0.0227199
45.63,0.655751,0.6381,0.632045,0.0176516
45.635,0.638648,0.637971,0.631941,0.000677014
45.64,0.636194,0.637843,0.631838,-0.00164891
45.645,0.622689,0.637715,0.631735,-0.0150258
45.65,0.62468,0.637587,0.631632,-0.0129072
45.655,0.627433,0.637459,0.631529,-0.0100258
45.66,0.640728,0.637332,0.631426,0.00339601
45.665,0.646122,0.637204,0.631323,0.00891761
45.67,0.640746,0.637077,0.63122,0.00366867
45.675,0.632549,0.63695,0.631117,-0.0044013
45.68,0.623063,0.636823,0.631014,-0.0137606
45.685,0.628971,0.636697,0.630911,-0.00772555
45.69,0.644328,0.63657,0.630808,0.00775766
45.695,0.650627,0.636444,0.630705,0.014183
45.7,0.648828,0.636318,0.630602,0.0125103
45.705,0.634728,0.636192,0.630499,-0.00146409
45.71,0.618445,0.636066,0.630397,-0.0176216
45.715,0.619685,0.635941,0.630294,-0.0162555
45.72,0.618421,0.635815,0.630191,-0.0173938
45.725,0.623465,0.63569,0.630088,-0.0122252
45.73,0.628651,0.635565,0.629986,-0.00691358
45.735,0.612571,0.63544,0.629883,-0.0228691
45.74,0.595337,0.635315,0.62978,-0.0399789
45.745,0.586766,0.635191,0.629677,-0.0484252
45.75,0.575779,0.635067,0.629575,-0.0592879
45.755,0.583834,0.634942,0.629472,-0.0511084
45.76,0.591862,0.634818,0.62937,-0.042956
45.765,0.59274,0.634694,0.629267,-0.0419547
45.77,0.57931,0.634571,0.629164,-0.0552603
45.775,0.5787,0.634447,0.629062,-0.0557471
45.78,0.584894,0.634324,0.628959,-0.0494299
45.785,0.610632,0.6342,0.628857,-0.0235684
45.79,0.615865,0.634077,0.628754,-0.0182127
45.795,0.607838,0.633954,0.628652,-0.0261162
45.8,0.598503,0.633832,0.62855,-0.0353284
45.805,0.591381,0.633709,0.628447,-0.042328
45.81,0.599761,0.633586,0.628345,-0.0338252
45.815,0.598342,0.633464,0.628243,-0.0351225
45.82,0.60039,0.633342,0.62814,-0.0329516
45.825,0.609698,0.63322,0.628038,-0.0235215
45.83,0.605701,0.633098,0.627936,-0.0273966
45.835,0.600985,0.632976,0.627833,-0.0319916
45.84,0.594111,0.632855,0.627731,-0.0387436
45.845,0.577552,0.632733,0.627629,-0.0551808
45.85,0.573875,0.632612,0.627527,-0.0587372
45.855,0.5783,0.632491,0.627425,-0.0541903
45.86,0.587657,0.63237,0.627322,-0.0447125
45.865,0.599797,0.632249,0.62722,-0.0324513
45.87,0.605421,0.632128,0.627118,-0.0267067
45.875,0.614855,0.632007,0.627016,-0.0171519
45.88,0.613996,0.631887,0.626914,-0.0178911
45.885,0.610457,0.631766,0.626812,-0.021309
45.89,0.586865,0.631646,0.62671,-0.0447808
45.895,0.581457,0.631526,0.626608,-0.050069
45.9,0.599545,0.631406,0.626506,-0.0318616
45.905,0.612001,0.631286,0.626404,-0.0192858
45.91,0.609599,0.631167,0.626302,-0.0215677
45.915,0.594629,0.631047,0.626201,-0.0364183
45.92,0.590462,0.630928,0.626099,-0.0404659
45.925,0.593347,0.630808,0.625997,-0.037461
45.93,0.58668,0.630689,0.625895,-0.0440097
45.935,0.581205,0.63057,0.625793,-0.0493651
45.94,0.582196,0.630451,0.625691,-0.0482553
45.945,0.600273,0.630333,0.62559,-0.03006
45.95,0.619178,0.630214,0.625488,-0.0110364
45.955,0.623251,0.630095,0.625386,-0.00684439
45.96,0.628293,0.629977,0.625285,-0.00168409
45.965,0.622746,0.629859,0.625183,-0.00711256
45.97,0.617308,0.62974,0.625081,-0.0124325
45.975,0.610423,0.629622,0.62498,-0.0191998
